XRD Depth,offset,Nearest Log Depth,Quartz,Calcite,Dolomite,Siderite,Kaolinite,Chlorite,Illite/Mica,Mx I/S*,K-spar,Plag.,Pyrite,AF10,AF20,AF30,AF60,AF90,AO10,AO20,AO30,AO60,AO90,AT10,AT20,AT30,AT60,AT90,AFCO60,AORT,AORX,BFV,CBP1,CBP2,CBP3,CBP4,CBP5,CBP6,CBP7,CBP8,CDF,CFTC,CMFF,CMFF_SIG,CMR_PHI_CO,CMRP_3MS,CNTC,CTEM,DCAL,DNPH,DPHZ,DPH8,DSOZ,DWAL_WALK2,DWCA_WALK2,DWFE_WALK2,DWGD_WALK2,DWSI_WALK2,DWSU_WALK2,DWTI_WALK2,ECGR,ECST,ESUF_WALK2,GDEV,GR,GR_EDTC,GTEM,HCAL,HDRA,HDRB,HGR,HMIN,HMNO,HNPO,HPRA,HTNP,KSDR,KTIM,NPHI,NPOR,PEF8,PEFZ,PXND_HILT,QCPMT,RHGE_WALK2,RHO8,RHOZ,RSOZ,RXO8,RXOZ,SP,SPAR,STIT,T2LM,T2LM_SIG,TCMR,TENS,TNPH,WCAR_WALK2,WCLA_WALK2,WPYR_WALK2,WQFM_WALK2,DTCO,DTSM
10410.15,0.05,10410.1,35,8,1,0,0,2,24,17,3,9,1,14.6851,18.3887,21.8596,22.3449,20.2427,14.3881,18.667,23.1073,18.5308,17.9175,14.6374,18.6219,22.353,22.1871,22.3333,44.753,17.1752,10.7698,0.0856,0.0321,0.0338,0.0139,0.0076,0.0001,0.0024,0.001,0,1642.5774,1657.4365,0.0053,0.004,0.0008,0.025,3462.9224,183.3412,0.9218,-0.0164,0.0756,0.0606,0.0135,0.0542,0.0371,0.0308,4.0245,0.3288,0.0064,0.0036,77.8359,61.2084,0.5,0.4921,71.2471,76.7407,182.2964,9.6718,-0.0127,0.0493,74.648,10.436,9.5506,0.1542,-0.0168,0.1503,0.0011,0.0029,0.1517,0.1497,4.0905,4.0561,0.1361,0.1607,2.7136,2.6063,2.5807,0.0001,14.7064,19.9587,-206.4811,-206.8074,0,1.9833,-999.25,0.0908,4670,0.1503,0.0249,0.2726,0.0119,0.6906,76.5114,126.3492
10420.85,0.15,10421,42,4,2,0.1,0,2,22,14,3,9,2,16.1093,19.0649,18.1192,16.9089,15.8089,15.4333,18.8457,16.389,13.4335,12.9587,16.6816,21.8151,19.5952,18.2888,16.6364,59.1403,11.1361,17.383,0.0571,0.0227,0.0196,0.0134,0.0023,0.0079,0.0011,0,0.0009,1690.5706,1600.0408,0.0108,0.0041,0.0008,0.0256,3344.6082,183.3412,0.8794,-0.0161,0.0656,0.0617,0.0252,0.0646,0.0342,0.0345,9.3882,0.316,0.0208,0.0055,83.8055,61.2084,0.5542,0,76.8545,83.2833,182.2964,9.6294,-0.0026,-0.0041,79.2744,16.2232,14.3961,0.1357,0.0339,0.1511,0.0006,0.0076,0.1525,0.1443,3.2912,3.2843,0.1342,0.0096,2.7367,2.6046,2.5978,0.0001,20.5867,23.2981,-206.6213,-206.5864,0,2.7511,-999.25,0.068,4753,0.1509,0.017,0.3249,0.0389,0.6192,74.3312,122.9403
10437.05,0.05,10437.1,0,0,0,0,1,6,37,56,0,0,0,10.7539,13.9054,13.5538,11.3775,12.3897,8.0817,23.6942,15.9204,12.8,12.5123,10.3209,20.3404,18.7913,12.7898,18.1598,87.8928,11.4993,5.467,0.0596,0.0221,0.0227,0.0105,0.0065,0.0034,0.0006,0.0003,0,1572.2197,1769.3441,0.0064,0.0037,0.0008,0.0213,3604.4348,183.3412,0.941,-0.0164,0.0615,0.0501,0.022,0.0595,0.0603,0.0319,3.9001,0.2941,0.0227,0.0033,77.6762,62.379,0.4879,2.4501,71.0409,89.0013,182.7997,9.691,0.0021,0.0117,63.8202,19.382,17.5892,0.1195,0.03,0.1424,0.0004,0.0026,0.1299,0.1172,3.3014,3.8003,0.1276,0.252,2.7389,2.6244,2.6049,0.0001,27.3398,19.7617,-206.7538,-206.5511,0,2.25,-999.25,0.0661,4653.2002,0.1425,0.0872,0.2993,0.0425,0.571,74.8124,126.6956
10442.15,0.05,10442.1,36,4,1,0,0,2,26,20,2,7,2,11.4927,14.2213,16.494,14.2943,13.9937,10.0223,8.6909,10.598,11.1679,11.0414,10.9342,9.7874,11.9111,10.2619,9.6274,69.958,11.937,8.6184,0.0737,0.03,0.0288,0.0113,0.0061,0.0022,0.0017,0.0003,0,1560.8228,1318.5579,0.0068,0.0039,0.0008,0.0216,3055.4607,183.3412,0.8902,-0.0167,0.0781,0.0626,0.0355,0.0637,0.043,0.0351,4.3244,0.3063,0.0178,0.0034,95.7205,62.379,0.5591,1.9285,87.7395,91.5729,182.7997,9.6402,-0.0043,0.0189,86,12.6616,11.2532,0.1921,0.0603,0.1855,0.0006,0.0036,0.189,0.1949,3.4377,3.64,0.1591,0.356,2.7361,2.603,2.5765,0.0205,16.1835,14.7624,-206.25,-206.4303,0,1.9162,-999.25,0.0805,4599.8335,0.1854,0.0407,0.3202,0.0334,0.6058,75.7188,125.3274
10450.15,0.05,10450.1,41,0,1,0,0,2,19,21,5,10,1,15.3901,20.2805,21.0149,18.5841,21.0845,13.8233,17.0861,18.4696,18.729,18.6655,14.4411,18.5186,19.6756,17.4556,23.0253,53.8096,16.8768,10.2781,0.066,0.0291,0.026,0.0107,0.0013,0.0065,0.0014,0.0002,0.0016,1635.8334,1548.624,0.0107,0.0042,0.0008,0.0217,3411.4485,183.3412,0.881,-0.0164,0.0807,0.0859,0,0.0495,0.0481,0.0278,6.6438,0.3246,0.0097,0.0029,94.4913,62.379,0.5079,4.2056,86.6481,98.7504,182.7997,9.631,-0.003,-0.0068,88.0036,24.0596,21.3777,0.1897,0.0569,0.1673,0.0007,0.0091,0.1817,0.1952,3.0503,3.1159,0.1486,0.4831,2.7137,2.5631,2.572,0.0001,30.5947,27.1337,-206.6066,-206.8319,0,2.2842,-999.25,0.0767,4679.2002,0.1672,0.0543,0.249,0.0181,0.6786,73.8439,120.5396
10460.65,0.15,10460.5,0,0,0,0,0,7,42,51,0,0,0,12.6013,14.026,14.7089,13.8143,13.7469,14.1513,16.8703,17.9357,16.3815,16.2262,11.8107,12.8542,14.1041,13.05,13.2548,72.3886,15.5362,10.6517,0.0517,0.022,0.0203,0.0059,0.0065,0.0043,0.001,0,0,1638.6215,2223.1204,0.0084,0.0038,0.0008,0.0178,4009.0994,183.3412,0.7469,-0.0142,0.0425,0.0432,0,0.0634,0.0543,0.0358,2.3818,0.2929,0.0092,0.0042,80.1489,63.5495,0.4823,2.5949,73.9334,83.6197,182.7997,9.4969,-0.0017,-0.0044,75.3271,12.3523,10.9519,0.1173,0.0289,0.1111,0.0003,0.0035,0.1238,0.1236,3.4581,3.5204,0.1013,0.1221,2.729,2.6362,2.6373,0.0001,15.6509,17.1684,-209.2408,-208.1269,4.7787,2.2238,-999.25,0.0601,5066,0.1111,0.0709,0.3186,0.0171,0.5933,67.53,112.845
10490.15,0.05,10490.2,47.8,27,6.3,0,0,1.7,5.1,4,0.7,8.1,1.2,46.4788,113.3648,158.1416,134.4946,115.6723,44.6656,129.365,96.1529,62.0091,61.3067,48.1883,108.2523,143.1472,130.0671,98.6097,7.4352,72.1184,15.9133,0.0315,0.0077,0.0065,0.0108,0.0095,0.0026,0.0006,0.0004,0.0001,1524.2418,3214.446,0.0066,0.0039,0.0008,0.024,4960.3784,183.3412,0.4134,-0.0109,0.0594,0.0536,0,0.0248,0.131,0.0126,7.8297,0.2724,0.0131,0.0019,76.3947,61.2084,0.3841,2.0098,71.5361,74.1256,183.303,9.1634,-0.0011,0.0059,71.7022,277.4995,248.5134,0.084,-0.0173,0.0786,0.0002,0.001,0.0787,0.0826,3.2973,3.3432,0.0773,0.0794,2.7039,2.6183,2.6084,0.0001,372.4095,139.8074,-214.1176,-213.8052,0,4.8816,-999.25,0.0382,4538.167,0.0788,0.2773,0.1247,0.0246,0.5734,62.9802,102.2308
10494.25,0.05,10494.2,42,10,2,0,0,2,18,14,1,9,2,24.4021,34.8251,36.9336,34.8149,33.8016,20.1812,26.6156,25.3951,22.3257,21.9687,23.7584,35.1058,37.0217,34.8738,34.5671,28.7234,23.9635,13.9566,0.0488,0.0107,0.0166,0.0134,0.0115,0.003,0.0017,0.0001,0,1532.1005,2244.1636,0.0081,0.0039,0.0008,0.0297,4134.6846,183.3412,0.4327,-0.0122,0.0606,0.0616,0,0.0507,0.0851,0.0278,5.2239,0.2798,0.0144,0.0029,87.6072,60.0379,0.4722,1.917,81.9637,90.5356,183.303,9.1827,-0.0025,-0.0042,83.2808,32.1546,28.5985,0.1332,0.0444,0.1185,0.0007,0.0034,0.1237,0.1326,3.3627,3.3661,0.11,0.3766,2.7258,2.6046,2.6064,0.0001,40.9448,44.5134,-213.3277,-213.6669,0,4.0915,-999.25,0.057,4614.3335,0.1184,0.154,0.255,0.027,0.564,68.3292,108.7317
10500.2,0,10500.2,45,5,1,0,0,2,16,13,5,11,2,21.9079,30.2686,32.0546,31.6336,29.604,15.8344,23.1448,23.7747,21.5855,21.1765,18.8521,24.9488,25.5969,24.7004,24.7408,31.612,22.8222,12.8102,0.0507,0.0159,0.026,0.0058,0.0068,0.0046,0.0001,0.0002,0.0011,1573.4825,1984.6619,0.0099,0.004,0.0008,0.0187,3780.0039,183.8494,0.4596,-0.0126,0.0615,0.0553,0.0259,0.05,0.0688,0.0265,5.5901,0.301,0.0201,0.0034,97.3051,62.379,0.4968,2.2593,90.9254,94.065,183.303,9.2096,-0.005,-0.0086,88.3011,27.5824,24.5203,0.139,0.0761,0.1271,0.0004,0.0053,0.1426,0.1271,3.1861,3.2624,0.1167,0,2.7271,2.6154,2.6049,0.0001,35.0995,35.5736,-212.8585,-212.6671,0,2.8503,-999.25,0.0607,4706.3335,0.1271,0.1101,0.2514,0.0375,0.6009,68.8037,112.4893
10508.15,0.05,10508.2,14,4.2,67.9,0,0,1.6,4.6,6.8,0.6,2.7,0.8,26.6339,35.642,36.8653,34.5367,31.8959,40.0127,46.4523,44.3493,39.3526,39.2441,30.889,42.4093,44.2788,40.5235,34.5813,28.9547,38.9877,16.2149,0.0353,0.01,0.0137,0.0038,0.0139,0.0013,0,0,0,1546.3641,2798.4919,0.0072,0.0035,0.0008,0.0189,4651.1938,185.3176,0.4673,-0.0117,-0.0162,-0.044,0.0555,0.0709,0.1629,0.0406,3.4121,0.1523,0.0115,0.0028,44.7415,62.379,0.4195,2.4646,41.7935,37.1069,183.303,9.2173,-0.0041,-0.0066,37.9201,135.008,121.3176,0.0855,0.06,0.094,0.0002,0.0014,0.0859,0.085,4.2884,4.131,0.0775,0.0239,2.7591,2.7853,2.7378,0.0001,200.5326,104.4858,-214.7886,-214.7025,0,3.5184,-999.25,0.0426,4602.1665,0.0938,0.3633,0.3563,0.0215,0.2589,62.3668,106.9968
